Time,Client,Request,Date
2018-05-11T23:55:25.939Z,::1,get weights,2018-05-11T23:55:25.000Z
2018-05-11T23:55:26.007Z,::1,get data,2018-05-11T23:55:26.000Z
2018-05-11T23:55:28.163Z,::1,put weights,2018-05-11T23:55:28.000Z
2018-05-11T23:55:28.167Z,::1,training loss & accuracy: 2.260709285736084 & 0.09375,2018-05-11T23:55:28.000Z
2018-05-11T23:55:28.172Z,::1,get data,2018-05-11T23:55:28.000Z
2018-05-11T23:55:28.917Z,::1,get data,2018-05-11T23:55:28.000Z
2018-05-11T23:55:29.076Z,::1,put weights,2018-05-11T23:55:29.000Z
2018-05-11T23:55:29.079Z,::1,training loss & accuracy: 2.2262330055236816 & 0.109375,2018-05-11T23:55:29.000Z
2018-05-11T23:55:29.089Z,::1,get data,2018-05-11T23:55:29.000Z
2018-05-11T23:55:29.147Z,::1,get data,2018-05-11T23:55:29.000Z
2018-05-11T23:55:29.315Z,::1,put weights,2018-05-11T23:55:29.000Z
2018-05-11T23:55:29.316Z,::1,training loss & accuracy: 2.16576886177063 & 0.1875,2018-05-11T23:55:29.000Z
2018-05-11T23:55:29.326Z,::1,get data,2018-05-11T23:55:29.000Z
2018-05-11T23:55:29.488Z,::1,put weights,2018-05-11T23:55:29.000Z
2018-05-11T23:55:29.490Z,::1,training loss & accuracy: 2.1365435123443604 & 0.375,2018-05-11T23:55:29.000Z
2018-05-11T23:55:29.498Z,::1,get data,2018-05-11T23:55:29.000Z
2018-05-11T23:55:29.630Z,::1,put weights,2018-05-11T23:55:29.000Z
2018-05-11T23:55:29.631Z,::1,training loss & accuracy: 2.0424938201904297 & 0.34375,2018-05-11T23:55:29.000Z
2018-05-11T23:55:29.640Z,::1,get data,2018-05-11T23:55:29.000Z
2018-05-11T23:55:29.688Z,::1,get data,2018-05-11T23:55:29.000Z
2018-05-11T23:55:29.821Z,::1,put weights,2018-05-11T23:55:29.000Z
2018-05-11T23:55:29.821Z,::1,training loss & accuracy: 1.9875085353851318 & 0.546875,2018-05-11T23:55:29.000Z
