Byte,Float
127,1
126,0.9921875
125,0.984375
124,0.9765625
123,0.96875
122,0.9609375
121,0.953125
120,0.9453125
119,0.9375
118,0.9296875
117,0.921875
116,0.9140625
115,0.90625
114,0.8984375
113,0.890625
112,0.8828125
111,0.875
110,0.8671875
109,0.859375
108,0.8515625
107,0.84375
106,0.8359375
105,0.828125
104,0.8203125
103,0.8125
102,0.8046875
101,0.796875
100,0.7890625
99,0.78125
98,0.7734375
97,0.765625
96,0.7578125
95,0.75
94,0.7421875
93,0.734375
92,0.7265625
91,0.71875
90,0.7109375
89,0.703125
88,0.6953125
87,0.6875
86,0.6796875
85,0.671875
84,0.6640625
83,0.65625
82,0.6484375
81,0.640625
80,0.6328125
79,0.625
78,0.6171875
77,0.609375
76,0.6015625
75,0.59375
74,0.5859375
73,0.578125
72,0.5703125
71,0.5625
70,0.5546875
69,0.546875
68,0.5390625
67,0.53125
66,0.5234375
65,0.515625
64,0.5078125
63,0.5
62,0.4921875
61,0.484375
60,0.4765625
59,0.46875
58,0.4609375
57,0.453125
56,0.4453125
55,0.4375
54,0.4296875
53,0.421875
52,0.4140625
51,0.40625
50,0.3984375
49,0.390625
48,0.3828125
47,0.375
46,0.3671875
45,0.359375
44,0.3515625
43,0.34375
42,0.3359375
41,0.328125
40,0.3203125
39,0.3125
38,0.3046875
37,0.296875
36,0.2890625
35,0.28125
34,0.2734375
33,0.265625
32,0.2578125
31,0.25
30,0.2421875
29,0.234375
28,0.2265625
27,0.21875
26,0.2109375
25,0.203125
24,0.1953125
23,0.1875
22,0.1796875
21,0.171875
20,0.1640625
19,0.15625
18,0.1484375
17,0.140625
16,0.1328125
15,0.125
14,0.1171875
13,0.109375
12,0.1015625
11,0.09375
10,0.0859375
9,0.078125
8,0.0703125
7,0.0625
6,0.0546875
5,0.046875
4,0.0390625
3,0.03125
2,0.0234375
1,0.015625
0,0.0078125
-1,-0.0078125
-2,-0.015625
-3,-0.0234375
-4,-0.03125
-5,-0.0390625
-6,-0.046875
-7,-0.0546875
-8,-0.0625
-9,-0.0703125
-10,-0.078125
-11,-0.0859375
-12,-0.09375
-13,-0.1015625
-14,-0.109375
-15,-0.1171875
-16,-0.125
-17,-0.1328125
-18,-0.140625
-19,-0.1484375
-20,-0.15625
-21,-0.1640625
-22,-0.171875
-23,-0.1796875
-24,-0.1875
-25,-0.1953125
-26,-0.203125
-27,-0.2109375
-28,-0.21875
-29,-0.2265625
-30,-0.234375
-31,-0.2421875
-32,-0.25
-33,-0.2578125
-34,-0.265625
-35,-0.2734375
-36,-0.28125
-37,-0.2890625
-38,-0.296875
-39,-0.3046875
-40,-0.3125
-41,-0.3203125
-42,-0.328125
-43,-0.3359375
-44,-0.34375
-45,-0.3515625
-46,-0.359375
-47,-0.3671875
-48,-0.375
-49,-0.3828125
-50,-0.390625
-51,-0.3984375
-52,-0.40625
-53,-0.4140625
-54,-0.421875
-55,-0.4296875
-56,-0.4375
-57,-0.4453125
-58,-0.453125
-59,-0.4609375
-60,-0.46875
-61,-0.4765625
-62,-0.484375
-63,-0.4921875
-64,-0.5
-65,-0.5078125
-66,-0.515625
-67,-0.5234375
-68,-0.53125
-69,-0.5390625
-70,-0.546875
-71,-0.5546875
-72,-0.5625
-73,-0.5703125
-74,-0.578125
-75,-0.5859375
-76,-0.59375
-77,-0.6015625
-78,-0.609375
-79,-0.6171875
-80,-0.625
-81,-0.6328125
-82,-0.640625
-83,-0.6484375
-84,-0.65625
-85,-0.6640625
-86,-0.671875
-87,-0.6796875
-88,-0.6875
-89,-0.6953125
-90,-0.703125
-91,-0.7109375
-92,-0.71875
-93,-0.7265625
-94,-0.734375
-95,-0.7421875
-96,-0.75
-97,-0.7578125
-98,-0.765625
-99,-0.7734375
-100,-0.78125
-101,-0.7890625
-102,-0.796875
-103,-0.8046875
-104,-0.8125
-105,-0.8203125
-106,-0.828125
-107,-0.8359375
-108,-0.84375
-109,-0.8515625
-110,-0.859375
-111,-0.8671875
-112,-0.875
-113,-0.8828125
-114,-0.890625
-115,-0.8984375
-116,-0.90625
-117,-0.9140625
-118,-0.921875
-119,-0.9296875
-120,-0.9375
-121,-0.9453125
-122,-0.953125
-123,-0.9609375
-124,-0.96875
-125,-0.9765625
-126,-0.984375
-127,-0.9921875
-128,-1
